Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
g4m3rsalt,https://www.nitrotype.com/racer/g4m3rsalt,ReliableGoldPeafowl,Ready Racer One,332,0,84.53400848127256,13740,1892262.8085876675,96.80338287719216,N8TE
2021,https://www.nitrotype.com/racer/2021,Nocturnal,Turbo Tycoon,13,0,107.45373777598547,12060,1714062.3695752071,92.45481441815086,ERC
internetgoneviral,https://www.nitrotype.com/racer/internetgoneviral,InternetTyper YT,Yo,379,220,108.05407250030272,10739,1595542.881434347,96.46009368626308,P1RE
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,77,220,88.5218692916582,9500,1337226.9209521473,97.57369787382586,P1RE
adventx11,https://www.nitrotype.com/racer/adventx11,BENJII - NT GOLD PLS,Keyboard Cat,68,140,120.33039421722363,8194,1293563.1993652522,98.56518460753999,ZTAGZ
nbvzdxchhc,https://www.nitrotype.com/racer/nbvzdxchhc,starz,Continue?,78,20,112.72050987357643,8577,1246215.2394917195,92.9247235698755,P1RE
xxcometopapa365,https://www.nitrotype.com/racer/xxcometopapa365,Back 2 the old days,"Peace, Love, Nitros",68,60,116.16836885930637,8357,1222421.9218703364,92.52994507865193,LXW
gimmickfps,https://www.nitrotype.com/racer/gimmickfps,Governor,2icy4u,198,0,94.80661670023443,8181,1178293.5295303224,97.7101925506332,FASZ
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 80k,Keyboard Smasher,105,260,94.46961988586904,8162,1145654.3529601227,95.33371542796134,SPRME
godlypropaco,https://www.nitrotype.com/racer/godlypropaco,GodlyProPaco YT,Keyboard Cat,239,0,156.73912237984334,5748,1023604.18944108,99.83769630060023,PCMSG
fzelmore4,https://www.nitrotype.com/racer/fzelmore4,losingmymind,Not a Bot,253,340,73.07817305485426,7511,996378.1737248334,97.15596069031479,P1RE
barfbr01,https://www.nitrotype.com/racer/barfbr01,Lucky Doves,Celebrity,77,280,86.0492098376688,6955,921013.1256454729,92.5886876380212,NCT
kamryn234t54345,https://www.nitrotype.com/racer/kamryn234t54345,༺Survivor༻,Pit Crew,230,280,93.54081360414806,6791,902590.2510258936,90.55624586126592,FASZ
jesustake_the_wheel,https://www.nitrotype.com/racer/jesustake_the_wheel,DylanJ 386k,Operation: Typing,166,20,95.0053201357263,6407,895271.7442989154,94.73278420991763,P1RE
greenbaline,https://www.nitrotype.com/racer/greenbaline,100k I Join YourTeam,League Champion,316,20,130.29838299907345,5193,851668.890898795,99.3061189940893,T3X5
billy33,https://www.nitrotype.com/racer/billy33,,On Thin Ice,35,0,54.34554866950551,6778,850407.9454959439,98.65783912098478,N8TE
77uu,https://www.nitrotype.com/racer/77uu,SlimJimPingu,Lord of the Practice,155,0,116.10399507968766,5783,833772.891499706,91.22094971584531,SSH
cr4zy_croc_kid,https://www.nitrotype.com/racer/cr4zy_croc_kid,500k I Join YourTeam,Tilted Typist,185,0,130.9924362185957,4835,800155.1982206901,99.99762347531089,CZBZ
kingfortnit3,https://www.nitrotype.com/racer/kingfortnit3,DINO-MITE,League Champion,77,120,91.36045555204049,5499,797342.9474858578,99.5315633760679,MEYBO
apicomplexa,https://www.nitrotype.com/racer/apicomplexa,Apicomplexa,Unda da Sea,331,200,159.41877706942338,4599,796756.1210433502,96.40315171159128,SPRME
trivolify,https://www.nitrotype.com/racer/trivolify,Trivolify,Legendary Lapper,301,100,141.51150069884218,4458,746480.0128632982,98.0624595781791,LOVGOD
aksi13,https://www.nitrotype.com/racer/aksi13,Lavalogy,Not a Bot,239,200,54.380018266290755,6027,742853.4940935487,96.90562356329393,LLJ4R
