Team,TotalPoints,Racers,Races
SPRME,24336500.3557018,45,168599
P1RE,18425107.45568072,44,133659
TVX,14246093.082016561,46,103081
PR2W,13206409.75493213,49,94043
N8TE,12184713.667996906,42,88132
NTPD1,11078427.678094415,49,80639
CAM0,10453595.035099318,50,74283
PSR,10101438.173373315,46,73923
SSH,9797738.847876651,36,69839
NCT,9337499.766817426,48,67731
CZBZ,9163016.38018786,49,65775
LXW,7619025.272608195,30,53549
BEEHVE,7350954.082325328,44,55017
S0RC,6361428.293390435,49,44194
TCHR,5836971.194308819,29,43660
4CU,4984128.007365111,30,29905
FASZ,4601405.339210924,30,32892
RFTP,4457203.186384215,39,36170
LEGNDS,4431353.227195941,43,31478
NTO,4282216.39389658,47,33734
LOVGOD,3998997.096873665,42,28385
ZTAGZ,3779773.4094530027,36,25783
ERC,3437710.294121912,21,23902
DIV1,3219136.558106686,45,22633
190IQ,3133145.579926813,14,22358
WPMWPM,3127388.036063181,49,25183
LLJ4R,3040531.9431749447,41,24970
RZ,3023711.3857613,46,23780
NHS,2715844.456529711,50,21318
MEYBO,2709049.529131289,28,19465
DLX,2692584.370557641,47,22084
AMPX,2629270.4956970904,45,20026
NTP444,2597216.9122751146,46,21150
F0J,2523602.700173961,38,18312
VKS,2363217.290621048,39,17743
RI5E,2262098.5210352964,47,17487
50I,2206114.71150737,40,15703
T0WER,2158145.767444109,38,14418
T3X5,2143875.189912013,24,14874
ZH,2073171.8865249106,41,15122
ZSH,2013702.2990129897,35,16648
NS7,2000708.336447561,47,14859
TWO,1894127.0365720529,32,13342
SAIL,1890475.6234218897,40,14985
1STRED,1867235.3784114316,44,14655
FAM3,1848068.0258759388,46,14531
BRAVE,1823163.7067552889,37,13960
A3,1782701.8156861037,30,13089
OVCR,1732844.0096439137,31,14968
AL3,1722759.4665550916,33,13098
EXTRME,1655757.6441028663,39,10653
RVNT,1646322.420433328,17,13846
LTC,1516384.7726432406,24,9437
HELIUM,1512640.8332014838,47,12896
B0MBA,1433142.9326738927,46,9953
LE4GUE,1368352.3266067642,47,10789
SZM,1348229.5969068254,45,11595
SSNAKS,1345842.225825948,49,11292
TRUST,1315767.0925890873,22,10206
4EP,1304512.6193046758,46,9894
NGREEN,1290910.4578179584,38,10670
XWX,1206948.5349391403,43,9821
ASPN,1195728.1002599716,42,9772
ZER0SE,1106778.2413107045,46,8144
ESTER,1106475.860543996,30,8216
ALFJ,1104013.0680652277,42,8847
D4RKER,1090472.153261087,29,7812
TNGN,1083178.9860374124,40,8017
SNTL,1065427.6117396741,27,7464
ST0RM,1062546.010587263,19,7800
WTRMN,1024650.8680715046,32,7434
SK4P,1013300.7634659589,23,8074
RL1,924238.9490693971,36,6801
AL0N3D,909060.6896888209,39,6902
DCPTCN,886641.4997327693,24,7237
LSH,870119.2501322194,29,7053
KBSM,864620.0146849316,33,6416
FERARI,812058.6347661136,35,6983
FUZHOU,779228.6191621115,39,5792
REB3LS,773511.5387370727,27,6232
VXL,760779.4495053535,6,5538
MED13L,750816.4883371101,35,5179
RL,743665.6990874081,32,5507
W2V,740260.2180301637,20,5611
1BESTW,730496.9532022728,26,5396
FOX109,724068.4012484433,27,5224
PIGFLY,715805.472496147,34,5308
DUAL,714692.5132667372,25,5175
SEDYKO,708719.830126152,17,6577
NTW,680201.6983693029,44,6757
DOGGIS,651860.5298822821,38,5466
UNREST,599643.9120826619,19,4374
HZE,583265.8992573154,21,4264
BAYLOR,581894.2904284104,30,5100
HONT,567171.7662725048,22,3913
CATPLT,540870.5994700004,36,4310
KAPOK,519235.98445279896,32,4218
PR2WX,507008.08090038196,29,4681
B4HL,479774.1445073439,8,3352
OER,474172.0169535204,27,3586
BRICS,464266.11185402813,34,4372
FLAGZ,455639.9897685195,23,3820
RIV4L,433101.9444608182,16,3140
TOTUF7,405253.879414045,30,3402
NTT,396797.2960554163,22,3017
VLN,386843.84149198263,29,3323
GSGMWO,369344.24280960433,29,2936
LOFH,348000.4651546944,10,2468
NI1TRO,343750.8794371615,23,2454
GOATOG,301371.4005802392,23,2539
NTRS34,298680.19193759095,27,2602
VTI,276490.60242817504,27,2227
LEDIHH,276386.2833919814,14,2134
EXOTIC,255733.79122344663,8,2056
SER,242141.86932274926,16,1795
KR0W,215224.40902670237,10,1555
BEES,212619.6835486206,3,1378
BR34K,203237.7222617179,3,1489
NTM,200851.15536799037,22,1322
TALK,195021.74769060613,18,1426
SG1MAS,172727.30313912197,28,1287
FRLB,155745.64841334027,3,1059
170MPH,155516.23615886187,28,1395
TGNM,151898.08427691262,11,1137
792231,147183.7953249919,2,1016
BMW,145573.34628846822,4,1097
YE1LOW,89734.49171828531,4,653
SPRINT,81841.99390439747,8,603
GLZ,77572.65298550364,16,624
M1NE,76938.55096227018,5,672
FORKS,66089.00747106517,17,516
NT20,61097.747670452045,2,570
XS9,30029.546154179126,1,258
NT,22483.77843448458,8,160
EMZ,21485.802052810614,7,161
CYCV,6904.075728595102,2,49
YADLRS,3433.1907493997214,1,24
IQ200,2665.7690972472656,2,28
2S,1655.5235913879983,0,12
VFU,768.4828240652876,1,6
LDZ,606.0831485587584,1,4
PTB,0.0,0,0
